Date,NSE Adj Close,NSE Return,Reliance Adj Close,Reliance Return,HDFC Adj Close,HDFC Return,,Reliance Beta,HDFC Beta
31/03/19,11748.15,0.0106,1392.8,0.0217,2317.45,-0.0006,,0.05199948,0.95893602
28/02/19,11623.9,0.0715,1363.25,0.1074,2318.9,0.1041,,,
31/01/19,10792.5,-0.0036,1231.05,0.0032,2077.55,-0.0012,,,
31/12/18,10830.95,-0.0029,1227.15,0.0944,2079.95,-0.0201,,,
30/11/18,10862.55,-0.0013,1121.25,-0.0397,2121.7,-0.0032,,,
31/10/18,10876.75,0.0451,1167.55,0.1002,2128.45,0.1018,,,
30/09/18,10386.6,-0.0524,1061.25,-0.1564,1911.75,-0.0493,,,
31/08/18,10930.45,-0.0686,1257.95,0.0131,2006.05,-0.0275,,,
31/07/18,11680.5,0.0277,1241.65,0.0469,2061.2,-0.0574,,,
30/06/18,11356.5,0.0565,1186,0.2271,2179.5,0.0326,,,
31/05/18,10714.3,-0.002,966.49,0.0555,2108.45,-0.0083,,,
30/04/18,10736.15,-0.0003,915.7,-0.0435,2125.87,0.0912,,,
31/03/18,10739.35,0.0583,957.4,0.0913,1931.96,0.0299,,,
28/02/18,10113.7,-0.0375,877.29,-0.0753,1874.13,0.001,,,
31/01/18,10492.85,-0.051,948.7,-0.007,1872.24,-0.0645,,,
31/12/17,11027.7,0.0451,955.41,0.0437,1992.97,0.0665,,,
30/11/17,10530.7,0.0289,915.4,-0.0005,1860.52,0.01,,,
31/10/17,10226.55,-0.0106,915.9,-0.0205,1841.94,0.0244,,,
30/09/17,10335.3,0.0529,935.08,0.2048,1797.02,0.0015,,,
31/08/17,9788.6,-0.0132,776.11,-0.0205,1794.24,0.0162,,,
31/07/17,9917.9,-0.0161,792.36,0.0018,1765.18,-0.0045,,,
30/06/17,10077.1,0.0552,790.96,0.1704,1773.08,0.0803,,,
31/05/17,9520.9,-0.0105,675.79,0.0293,1630.73,0.0096,,,
30/04/17,9621.25,0.033,656.54,-0.0391,1615.08,0.0548,,,
31/03/17,9304.05,0.014,683.23,0.0562,1526.54,0.0672,,,
28/02/17,9173.75,0.0321,646.85,0.0669,1423.93,0.0364,,,
31/01/17,8879.6,0.0358,606.27,0.1845,1372.16,0.0744,,,
31/12/16,8561.3,0.0439,511.84,-0.4912,1270.05,0.0794,,,
30/11/16,8185.8,-0.0047,1006.04,1.075,1169.16,-0.0128,,,
31/10/16,8224.5,-0.0503,484.83,-0.0615,1184.12,-0.0496,,,
30/09/16,8638,0.0031,516.61,-0.0265,1242.8,-0.011,,,
31/08/16,8611.15,-0.0203,530.69,0.0224,1256.42,-0.0144,,,
31/07/16,8786.2,0.0168,519.08,0.0444,1274.54,0.0349,,,
30/06/16,8638.5,0.0406,497,0.0472,1230.12,0.0637,,,
31/05/16,8287.75,0.0154,474.59,0.0118,1151.81,-0.0046,,,
30/04/16,8160.1,0.038,469.06,-0.0253,1157.15,0.0419,,,
31/03/16,7849.8,0.0142,481.23,-0.0401,1108.64,0.054,,,
29/02/16,7738.4,0.0971,501.32,0.0813,1048.72,0.0927,,,
31/01/16,6987.05,-0.0825,463.64,-0.0664,951.5,-0.0803,,,
31/12/15,7563.55,-0.0506,496.61,0.0205,1027.86,-0.0308,,,
30/11/15,7946.35,0.0014,486.64,0.0491,1059.49,0.0041,,,
31/10/15,7935.25,-0.0165,463.86,0.0205,1055.18,-0.0203,,,
30/09/15,8065.8,0.0145,454.55,0.099,1076.57,0.028,,,
31/08/15,7948.9,0,413.59,-0.5039,1046.42,0.0387,,,
31/07/15,7948.95,-0.0735,833.75,0.7351,1005.93,-0.0739,,,
30/06/15,8532.85,0.0193,480.52,0.0017,1080.25,0.04,,,
31/05/15,8368.5,-0.0078,479.68,0.1672,1037.01,0.0156,,,
30/04/15,8433.65,0.0299,410.98,0.017,1020.88,0.0588,,,
31/03/15,8181.5,-0.0378,404.11,0.044,960.87,-0.0343,,,
28/02/15,8491,-0.0416,387.08,-0.0345,993.81,-0.0306,,,
31/01/15,8844.6,0.004,400.93,-0.0652,1024.23,-0.0222,,,
31/12/14,8808.9,0.0597,428.9,0.027,1046.92,0.1167,,,
30/11/14,8282.7,-0.0369,417.61,-0.1013,924.72,-0.0058,,,
31/10/14,8588.25,0.031,464.68,-0.0089,930.11,0.0473,,,
30/09/14,8322.2,0.0429,468.88,0.058,886.09,0.043,,,
31/08/14,7964.8,0.0013,443.17,-0.0531,848,0.0333,,,
31/07/14,7954.35,0.0293,468.01,-0.0077,819.72,0.0113,,,
30/06/14,7721.3,0.0142,471.64,-0.0088,810.44,0.0232,,,
31/05/14,7611.35,0.0501,475.84,-0.0288,791.65,0.0351,,,
30/04/14,7229.95,0.0738,489.94,0.1377,763.9,0.0901,,,
31/03/14,6696.4,,430.62,,695.05,,,,