"","restaurant_name","cuisines","cost","timings","collections","url"
"289","Annapurna Restaurant","North Indian, Chinese",500,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/annapurna-restaurant-1-gachibowli"
"290","Shtuff","Chinese, Mexican",400,"12noon – 2:30am (Mon-Sun)",NA,"https://www.zomato.com/shtuff"
"291","DesiFry","North Indian",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/desifry-gachibowli"
"292","Punjab Express","North Indian",300,"12midnight – 3am, 12noon – 12midnight...",NA,"https://www.zomato.com/hyderabad/punjab-express-gachibowli"
"293","Baskin Robbins","Desserts, Ice Cream, Beverages",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/baskin-robbins-1-gachibowli"
"294","Deli-ciosa","Desserts, Bakery",250,"9:30am – 10:30pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/deli-ciosa-gachibowli"
"295","Hyderabad Darbar","Hyderabadi, Chinese",750,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hyderabad-darbar-gachibowli"
"296","Swagatam","North Indian, Chinese",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/swagatam-gachibowli"
"297","Lassi Shop","Beverages, Sandwich",150,"1pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lassi-shop-1-gachibowli"
"298","Jaggi De Parathe","North Indian, Chinese",550,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jaggi-de-parathe-gachibowli"
"299","Food U","Beverages, Juices",300,"8am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-u-gachibowli"
"300","Punjabi Affair","North Indian, Chinese, Mughlai",800,"12noon – 6pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/punjabi-affair-1-gachibowli"
"301","Baguette Salads","Salad, Healthy Food, Beverages",500,"9am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/baguette-salads-gachibowli"
"302","Kitchen Garden","North Indian",350,"2pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kitchen-garden-gachibowli"
"303","Kebab Pavilion - Ellaa Hotels","Hyderabadi, Mughlai",1200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kebab-pavilion-ellaa-hotels-gachibowli"
"304","Waffled","Desserts, Beverages",200,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/waffled-gachibowli"
"305","Bellyful","Chinese, Andhra, North Indian",400,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bellyful-gachibowli"
"306","Areen Kababs And Grill","Kebab, Biryani, North Indian, Mughlai",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/areen-kababs-and-grill-gachibowli"
"307","Roll Zone","Fast Food, Rolls",200,"11am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/roll-zone-1-gachibowli"
"308","Bombay Sandwich Company","Sandwich, Desserts, Beverages",400,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bombay-sandwich-company-gachibowli"
"309","Orange Foods","South Indian, North Indian, Chinese",300,"10:30am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/orange-foods-1-gachibowli"
"310","Oye Punjabi","North Indian",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/oye-punjabi-gachibowli"
"311","Al-Araab8 Biryani's & Mandi","North Indian, Chinese",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/al-araab8-biryanis-mandi-gachibowli"
"312","Seven Hills Delhi Chaat","Street Food",150,"3pm – 9:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/seven-hills-delhi-chaat-gachibowli"
"313","Exit No 1 Drive in Restaurant","South Indian, North Indian, Chinese, Fast Food",300,"12:30pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/exit-no-1-drive-in-restaurant-1-gachibowli"
"314","Taste of Godavari","South Indian",300,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/taste-of-godavari-food-truck"
"315","Woks & Tongs","Chinese",700,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/woks-tongs-gachibowli"
"316","Mehraan Restaurant and Banquets","Chinese, Arabian, Kebab",500,"12noon – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mehraan-restaurant-and-banquets-gachibowli"
"317","Salty Pepper","North Indian, Chinese",250,"12noon – 3:30pm (Mon),12midnight – 1am, 11am –...",NA,"https://www.zomato.com/hyderabad/salty-pepper-1-gachibowli"
"318","Leaf Green Hotel","North Indian, Chinese",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/leaf-green-hotel-gachibowli"
"319","24/7 Shawarma And Migge More","Fast Food, Lebanese",200,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/24-7-shawarma-and-migge-more-gachibowli"
"320","Game Of Kitchens","North Indian, South Indian, Biryani, Chinese",250,"11am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/game-of-kitchens-gachibowli"
"321","Jitus Kitchen & Dine","Chettinad",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jitus-kitchen-dine-gachibowli"
"322","Jumboking VadaPav","Street Food",200,"11:55am – 12midnight (Mon-Fri),11:15am –...",NA,"https://www.zomato.com/hyderabad/jumboking-vadapav-gachibowli"
"323","Maharaja Hotel","North Indian, Mughlai",500,"12noon – 4pm, 7pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/maharaja-hotel-gachibowli"
"324","Lassi Corner","Beverages, Desserts, Fast Food",200,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lassi-corner-1-gachibowli"
"325","World In A Bowl","Continental, American, Italian, Salad, North Indian, Desserts, Beverages",500,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/world-in-a-bowl-gachibowli"
"326","Golden Flames","North Indian, Chinese, Continental",700,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/golden-flames-gachibowli"
"327","INDULGE by InnerChef","Desserts, Bakery, Ice Cream",400,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/indulge-by-innerchef-gachibowli"
"328","D-Lite Frankie","Rolls",150,"12noon – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/d-lite-frankie-gachibowli"
"329","Far East Asia","Chinese, Thai, Asian, Sri Lankan, Momos",500,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/far-east-asia-gachibowli"
"330","Gappe Vappe","Street Food",250,"2pm – 10pm (Mon-Fri),12noon – 12midnight (Sat-Sun)",NA,"https://www.zomato.com/hyderabad/gappe-vappe-gachibowli"
"331","Alforno","Fast Food, Italian, Pizza",500,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/alforno-gachibowli"
"332","Plate Home","North Indian, South Indian, Chinese",300,"11am – 3:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/plate-home-gachibowli"
"333","Dhaba Shaba","North Indian, Chinese",650,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dhaba-shaba-gachibowli"
"334","Swadisht Biryani And Paratha","North Indian, Hyderabadi, Fast Food",400,"11:30am – 1:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/swadisht-biryani-and-paratha-gachibowli"
"335","Healthy Wealthy.co","Healthy Food, Continental",550,"7am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/healthy-wealthy-co-gachibowli"
"336","Rocks - Ellaa Hotels","Finger Food, North Indian, South Indian",1600,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rocks-ellaa-hotels-gachibowli"
"337","Sri Nellore Mess","Andhra",200,"12noon – 4pm, 8pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-nellore-mess-gachibowli"
"338","Tasty Grand Paradise","Chinese, North Indian, Biryani",500,"11:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tasty-grand-paradise-gachibowli"
"339","The Gacchi Bowl","North Indian, Kebab, Biryani, Hyderabadi, Mughlai",500,"12noon – 3pm, 7:30pm – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-gacchi-bowl-gachibowli"
"340","Flavorz","Healthy Food",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/flavorz-gachibowli"
"341","Bamboo Street","North Indian, Chinese",1200,"12noon – 12midnight (Mon-Fri),12midnight – 1am...",NA,"https://www.zomato.com/hyderabad/bamboo-street-gachibowli"
"342","Anu's Kitchen","North Indian, Chinese",250,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/anus-kitchen-gachibowli"
"343","7 Eleven","North Indian, Chinese",800,"7am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/7-eleven-gachibowli"
"344","De Bohemian Cafe","Fast Food, Desserts, Beverages",400,"11:30am – 11pm (Mon-Fri),11:30am – 11:30pm...",NA,"https://www.zomato.com/hyderabad/de-bohemian-cafe-gachibowli"
"345","BBQ Ride","BBQ",200,"7pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/bbq-ride-food-truck"
"346","Chinese Aroma","Chinese, North Indian, Fast Food",600,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chinese-aroma-gachibowli"
"347","Fire Blast Biryanis","South Indian, Biryani",350,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fire-blast-biryanis-gachibowli"
"348","Aaswada","South Indian",500,"11am – 3pm, 6pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/aaswada-gachibowli"
"349","New York Slice","Pizza, Beverages",500,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/new-york-slice-gachibowli"
"350","I Was ( Waffles & Shake ) Here","Desserts, Beverages",200,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/i-was-waffles-shake-here-gachibowli"
"351","Akhil Chinese Fast Food Centre","Chinese",200,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/akhil-chinese-fast-food-centre-gachibowli"
"352","Wokstars","Asian, Healthy Food",400,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/wokstars-gachibowli"
"353","Shah Ghouse Pantry","Beverages, Desserts, Ice Cream",300,"11am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shah-ghouse-pantry-gachibowli"
"354","N2 Lounge & Sports Bar","Continental, Chinese, North Indian",1000,"10am – 12midnight (Mon, Tue, Wed, Thu, Sun), 10am...",NA,"https://www.zomato.com/hyderabad/n2-lounge-sports-bar-gachibowli"
"355","Maadhuryam","South Indian, North Indian",200,"7am – 3:30pm, 7pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/maadhuryam-gachibowli"
"356","9th Food Shawarma & Biryani House","Arabian",400,"Closed (Mon),6:30pm – 1am (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/9th-food-shawarma-biryani-house-gachibowli"
"357","Plabo","Fast Food, Chinese",500,"11am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/plabo-gachibowli"
"358","Maha Lakshmi Kitchen","North Indian, Biryani",400,"11am – 4am (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/maha-lakshmi-kitchen-gachibowli"
"359","Greens & More","Healthy Food",400,"8am – 7pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/greens-more-gachibowli"
"360","Sippy Monks","Beverages",150,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sippy-monks-gachibowli"
"361","Cool Sip Juices & More","Beverages, Juices",150,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cool-sip-juices-more-gachibowli"
"362","Fuv Kitchen","North Indian, Continental",300,"10:30am – 1:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fuv-kitchen-2-gachibowli"
"363","Haleem By Cafe 555","Hyderabadi",400,"4pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/haleem-by-cafe-555-gachibowli"
"364","Kitchens Of Rajdoot","North Indian, Chinese",300,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kitchens-of-rajdoot-gachibowli"
"365","Cone Pizza","Fast Food",250,"3pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cone-pizza-gachibowli"
"366","Milap Foodies","Street Food",300,"6pm – 5am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/milap-foodies-gachibowli"
"367","Cabrito Al Mataam","Hyderabadi, Seafood",500,"12noon – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cabrito-al-mataam-gachibowli"
"368","Hungry Souls Shawarmas","Fast Food, Lebanese",300,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hungry-souls-shawarmas-gachibowli"
"369","Food Wizard","Fast Food, Sandwich, Burger, Rolls, Beverages",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-wizard-gachibowli"
"370","Aroma Multicusine Restaurant","North Indian, Biryani, Continental, Chinese",1300,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/aroma-multicusine-restaurant-gachibowli"
"371","Delicio Taco Truck","Mexican",250,"5pm – 12:45AM (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/delicio-taco-truck-food-truck"
"372","Flames & Pots","Chinese, North Indian, Biryani",300,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/flames-pots-gachibowli"
"373","The Burger Studio","Burger, Fast Food, North Indian, Mughlai",350,"11am – 12midnight (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/the-burger-studio-1-gachibowli"
"374","Mr. Milkshake","Beverages",250,"1pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mr-milkshake-gachibowli"
"375","Jai Bhavani  Tiffin Centre","Chinese",250,"10am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jai-bhavani-tiffin-centre-gachibowli"
"376","HungrySpoon - Radisson Hyderabad Hitec City","North Indian, Continental",800,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hungryspoon-radisson-hyderabad-hitec-city-gachibowli"
"377","Express Shawarma","Lebanese, Rolls",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/express-shawarma-gachibowli"
"378","Maggis & Momos","Fast Food",200,"10am – 2am (Mon, Sat, Sun), 11am – 4am (Tue-Fri)",NA,"https://www.zomato.com/hyderabad/maggis-momos-gachibowli"
"379","Hanu Kings Burger","Fast Food",400,"10am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hanu-kings-burger-gachibowli"
"380","Chef Bakers","Bakery, Fast Food",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chef-bakers-gachibowli"
"381","Velocity On 15 - Radisson Hyderabad Hitec City","North Indian, Finger Food, Fast Food",1500,"5pm – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/velocity-on-15-radisson-hyderabad-hitec-city-gachibowli"
"382","Maa Vuri Ruchulu","North Indian",500,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/maa-vuri-ruchulu-gachibowli"
"383","Nourish","Beverages, Juices, Fast Food",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/nourish-gachibowli"
"384","Samosa Express","Street Food",150,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/samosa-express-1-gachibowli"
"385","TAG- Chinese Wok","Chinese",400,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tag-chinese-wok-gachibowli"
"386","Cook Manager","Chinese, North Indian, South Indian",600,"11am – 11pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/cook-manager-gachibowli"
"387","Dil Chatora","Street Food, Fast Food",350,"12:30pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dil-chatora-1-gachibowli"
"388","South Indian Kitchen","South Indian, Hyderabadi",300,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/south-indian-kitchen-gachibowli"
"389","Alleppey Restaurant","South Indian, Kerala",200,"12noon – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/alleppey-restaurant-gachibowli"
"390","Al-Labbaik Shawarma","Arabian",200,"1pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/al-labbaik-shawarma-gachibowli"
"391","Khatta Meetha Chaat","Street Food",200,"7:30am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/khatta-meetha-chaat-gachibowli"
"392","Tiffins Square","South Indian",500,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tiffins-square-gachibowli"
"393","Kwality Wall's Swirl's","Ice Cream, Desserts",250,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kwality-walls-swirls-gachibowli"
"394","Thanco's Natural Ice Cream","Desserts, Ice Cream",300,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/thancos-natural-ice-cream-gachibowli"
"395","Brown Bear","Bakery, Desserts",150,"9am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/brown-bear-gachibowli"
"396","Renuka Snax Bar","Fast Food",300,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/renuka-snax-bar-gachibowli"
"397","Harries Kitchen","Fast Food, Beverages, Juices, Sandwich",200,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/harries-kitchen-gachibowli"
"398","Chotemiyan Kebabs","Kebab, North Indian",400,"5pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chotemiyan-kebabs-gachibowli"
"399","Nimantran","Bengali",250,"6am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/nimantran-gachibowli"
"400","L House (Kebab & More)","North Indian",300,"Closed (Mon),6pm – 12midnight (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/l-house-kebab-more-gachibowli"
"401","Makers of Milkshakes","Beverages, Desserts",300,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/makers-of-milkshakes-3-gachibowli"
"402","Singh Saab","North Indian, Biryani",600,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/singh-saab-1-gachibowli"
"403","Pulse Juice Bar","Beverages, Juices",150,"11am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pulse-juice-bar-gachibowli"
"404","Madras Coffee House","Street Food, Beverages",100,"6am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/madras-coffee-house-gachibowli"
"405","The Chaiwalas","Street Food",100,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-chaiwalas-gachibowli"
"406","Sweet Magic Sweets","Mithai, Fast Food",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sweet-magic-sweets-gachibowli"
"407","Biryani Bowl","North Indian, Biryani, Chinese, Mughlai",650,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/biryani-bowl-gachibowli"
"408","Fuel Factory","Beverages, Fast Food, Desserts",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fuel-factory-gachibowli"
"409","Shanghai Club","Chinese, North Indian, Biryani",500,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shanghai-club-gachibowli"
"410","SSP Kitchen & Dosa Station","South Indian, North Indian, Chinese",550,"7pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ssp-kitchen-dosa-station-gachibowli"
"411","Little China Kitchen","Chinese",400,"11am – 11:30pm (Mon-Tue),11:22am – 11:40pm...",NA,"https://www.zomato.com/hyderabad/little-china-kitchen-gachibowli"
"412","KGN food court","Chinese, North Indian",250,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kgn-food-court-gachibowli"
"413","Sanjos Donuts","Desserts",400,"9am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sanjos-donuts-gachibowli"
"414","Mexico's Chicken Poppers","Fast Food",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mexicos-chicken-poppers-2-gachibowli"
"415","Cold N Creamy Shakes","Desserts, Ice Cream",200,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cold-n-creamy-shakes-gachibowli"
"416","R K Chinese Fast Food","Chinese",150,"8am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/r-k-chinese-fast-food-gachibowli"
"417","Tropical Chinese","Biryani, North Indian, Fast Food",550,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tropical-chinese-gachibowli"
"418","Cake world","Bakery",550,"10am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cake-world-gachibowli"
"419","Vegetarian Point","South Indian, Fast Food",300,"11am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/vegetarian-point-gachibowli"
"420","Ya Shawarma Stop and Arabian Delight","Lebanese, Arabian",300,"2pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ya-shawarma-stop-and-arabian-delight-gachibowli"
"421","Ice Factory","Ice Cream",150,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ice-factory-gachibowli"
"422","Smoky Pitara Takeaway","Continental, Italian, Chinese",1000,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/smoky-pitara-takeaway-gachibowli"
"423","Babai Abbai","South Indian, North Indian, Seafood, Chinese",600,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/babai-abbai-gachibowli"
"424","Drunken Monkey","Juices, Healthy Food",400,"8am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/drunken-monkey-gachibowli"
"425","Khaanaghar","North Indian, Chinese",300,"12noon – 3pm, 7pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/khaanaghar-gachibowli"
"426","Frigid Zone","Beverages, Desserts",250,"11:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/frigid-zone-gachibowli"
"427","The Frankey House","North Indian, Chinese",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-frankey-house-gachibowli"
"428","Dairy Den","Ice Cream, Desserts, Fast Food",250,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dairy-den-gachibowli"
"429","Food Factory","North Indian, Biryani, Chinese",500,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-factory-gachibowli"
"430","5 Star Sambar","South Indian",400,"11am – 3pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/5-star-sambar-gachibowli"
"431","Grill n Fire","Chinese, North Indian, Seafood, Biryani",400,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/grill-n-fire-gachibowli"
"432","Hashtag Biryani","Biryani",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hashtag-biryani-gachibowli"
"433","Sky Secrets","North Indian, Chinese",750,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sky-secrets-gachibowli"
"434","Kothakota","North Indian, Hyderabadi",600,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kothakota-gachibowli"
"435","Chef House","North Indian, South Indian, Chinese, Continental",600,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chef-house-gachibowli"
"436","It's Cakery","Bakery",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/its-cakery"
"437","Babai Pulao","Street Food, North Indian, Hyderabadi",450,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/babai-pulao-gachibowli"
"438","JoosVoos","Juices",200,"3pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/joosvoos-gachibowli"
"439","Coastal Kitchen","South Indian, Seafood, North Indian, Chinese",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/coastal-kitchen-gachibowli"
"440","Happy Foods","Biryani, North Indian",600,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/happy-foods-gachibowli"
"441","What the Food","South Indian",100,"5pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/what-the-food-2-gachibowli"
"442","Sri Venkateswara Tiffins & Meals","South Indian, North Indian",100,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-venkateswara-tiffins-meals-gachibowli"
"443","Josh Restaurant","Fast Food, Beverages",250,"10am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/josh-restaurant-gachibowli"
"444","Chai Raja","Tea, Sandwich",250,"8am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chai-raja-gachibowli"
"445","Lassi Day Cafe","Beverages",150,"10am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lassi-day-cafe-gachibowli"
"446","Gran Barbeque","Fast Food, BBQ",300,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gran-barbeque-gachibowli"
"447","The Heaven Of Chinese","Chinese",300,"12noon – 3:30pm, 7pm – 3:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-heaven-of-chinese-gachibowli"
"448","US Pizza","Pizza, Fast Food",800,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/us-pizza-4-gachibowli"
