"","restaurant_name","cuisines","cost","timings","collections","url"
"449","Steam Station","Street Food, Momos",200,"8am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/steam-station-gachibowli"
"450","Backyard Food Co.","North Indian, Street Food",400,"2:30pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/backyard-food-co-1-gachibowli"
"451","Sri Santosh Family Dhaba","North Indian",400,"10am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-santosh-family-dhaba-gachibowli"
"452","Veeraj Restaurant","North Indian, Chinese, Seafood",900,"8am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/veeraj-restaurant-gachibowli"
"453","Qurioseaty","South Indian",200,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/qurioseaty-gachibowli"
"454","Shakes & More","Beverages",200,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shakes-more-gachibowli"
"455","Southern Chefs","South Indian, North Indian, Chinese",800,"7:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/southern-chefs-gachibowli"
"456","Shotz 52","Beverages, Healthy Food",300,"11am – 12midnight (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/shotz-52-gachibowli"
"457","Laziz Food Court","North Indian",350,"12midnight – 3am, 10am – 12midnight (Mon, Wed...",NA,"https://www.zomato.com/hyderabad/laziz-food-court-gachibowli"
"458","Sri Sai Lokanth","North Indian, Chinese",200,"6am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-sai-lokanth-gachibowli"
"459","Lunch Box","South Indian, North Indian, Biryani",350,"6am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lunch-box-gachibowli"
"460","Roaming Hunger","South Indian",150,"6:30pm – 11pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/roaming-hunger-1-food-truck"
"461","Rasavat","North Indian",200,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rasavat-gachibowli"
"462","Ess-Jee Shawarma ","Rolls, Fast Food",300,"8:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ess-jee-shawarma-gachibowli"
"463","Little Hut Shawarma And Shakes","Lebanese, Beverages",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/little-hut-shawarma-and-shakes-gachibowli"
"464","Chai Factory","Tea, Beverages, Street Food",200,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chai-factory-gachibowli"
"465","Grand Corner Bakers","Bakery, Desserts",350,"11am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/grand-corner-bakers-gachibowli"
"466","Masqati Ice Cream","Ice Cream",450,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/masqati-ice-cream-gachibowli"
"467","Indori Zaika","North Indian, Fast Food",100,"9:30am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/indori-zaika-1-gachibowli"
"468","UBQ by Barbeque Nation","North Indian, Kebab, Biryani, BBQ",400,"12noon – 3:30pm, 6:30pm – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ubq-by-barbeque-nation-gachibowli"
"469","House Of Pops","Ice Cream",350,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/house-of-pops-gachibowli"
"470","Shah Ghouse Pan Palace","Paan",100,"8am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shah-ghouse-pan-palace-gachibowli"
"471","Zoey's Bakehouse","Bakery, Desserts",400,"9am – 8pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/zoeys-bakehouse-gachibowli"
"472","Healthy Shakes","Beverages",200,"3pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/healthy-shakes-gachibowli"
"473","Chinese Republic Kitchen","Chinese",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chinese-republic-kitchen-gachibowli"
"474","Jai Bhawani Chinese Fast Food And Rotis","Chinese, North Indian",150,"6:30pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jai-bhawani-chinese-fast-food-and-rotis-gachibowli"
"475","Cyber Ecstasy","North Indian, Chinese",750,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cyber-ecstasy-gachibowli"
"476","The Coconut Company","Beverages",200,"10am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-coconut-company-gachibowli"
"477","Kebab Ghar","Kebab, North Indian",600,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kebab-ghar-gachibowli"
"478","Frosty Thrills","Ice Cream, Desserts, Beverages",250,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/frosty-thrills-gachibowli"
"479","Lakshmi Narasimha Tiffins","South Indian, Street Food",350,"6:15am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lakshmi-narasimha-tiffins-gachibowli"
"480","Book 4 Meal","North Indian, Chinese",350,"11:30am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/book-4-meal-gachibowli"
"481","Indian Food Factory","Chinese",200,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/indian-food-factory-gachibowli"
"482","Taste of Punjab","North Indian",300,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/taste-of-punjab-gachibowli"
"483","Laziz Parathas","North Indian",350,"10am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/laziz-parathas-gachibowli"
"484","The Plate Company","Hyderabadi",200,"11am – 3pm, 7pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-plate-company-gachibowli"
"485","Nala Bhimas","South Indian, North Indian",300,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/nala-bhimas-gachibowli"
"486","Palamuru Pakodi","Fast Food",500,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/palamuru-pakodi-gachibowli"
"487","The Kolkata Rolls","Rolls, Fast Food",100,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-kolkata-rolls-gachibowli"
"488","Madhu's Kitchen","Chinese, North Indian, South Indian",250,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/madhus-kitchen-gachibowli"
"489","Adraq by OYO","North Indian",400,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/adraq-by-oyo-gachibowli"
"490","Beirut Express","Arabian, Lebanese",500,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/beirut-express-gachibowli"
"491","SD Milkshakes","Beverages, Fast Food",200,"10:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sd-milkshakes-gachibowli"
"492","TCB - THE CRAFTED BOTTLE","Juices",200,"7am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tcb-the-crafted-bottle-gachibowli"
"493","Darleys Ice Cream","Desserts, Ice Cream",150,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/darleys-ice-cream-gachibowli"
"494","Shakes Stories","Fast Food, Beverages",500,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shakes-stories-gachibowli"
"495","Asian Kitchen","North Indian, South Indian, Chinese",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/asian-kitchen-gachibowli"
"496","Old Fox","Biryani",250,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/old-fox-gachibowli"
"497","Lakshmi House Of Biryani & Pulav","North Indian, South Indian",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lakshmi-house-of-biryani-pulav-gachibowli"
"498","Hotbux Rolls and Snacks","Rolls",150,"1pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hotbux-rolls-and-snacks-gachibowli"
"499","ZAN Food Court & Desserts Juice","Juices, Desserts",200,"12:30pm – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/zan-food-court-desserts-juice-gachibowli"
"500","Hotel Sitara Grand","North Indian, Chinese",800,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hotel-sitara-grand-gachibowli"
"501","Sri Balaji Family Dhaba","North Indian",350,"7:30am – 11:45pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-balaji-family-dhaba-gachibowli"
"502","Sri Tirumala Food Court & Caterers","South Indian",200,"7:45am – 11pm (Mon-Sat), (Sun)",NA,"https://www.zomato.com/hyderabad/sri-tirumala-food-court-caterers-gachibowli"
"503","Chic N Cone","Fast Food",200,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chic-n-cone-gachibowli"
"504","Quality Rolls","Rolls",250,"4pm – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/quality-rolls-gachibowli"
"505","Irani Chai","Beverages",100,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/irani-chai-gachibowli"
"506","Software  Engineer Da Dhaba","Street Food",150,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/software-engineer-da-dhaba-gachibowli"
"507","Health-E-Foods","South Indian",150,"6am – 12:30pm, 5pm – 9:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/health-e-foods-gachibowli"
"508","Scoops N Shakes","Desserts, Beverages",250,"12noon – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/scoops-n-shakes-gachibowli"
"509","Cake World Bakery","Bakery, Desserts",300,"10am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cake-world-bakery-1-gachibowli"
"510","Alladin Shawarma","North Indian",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/alladin-shawarma-gachibowli"
"511","MC Wich","Sandwich, Fast Food",200,"7:30am – 1:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mc-wich-gachibowli"
"512","99Teas","Tea, Beverages",150,"12noon – 1:30am (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/99teas-gachibowli"
"513","Brownie Store","Desserts",150,"7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/brownie-store-gachibowli"
"514","Shawarma.inn","Lebanese, Arabian",300,"1pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shawarma-inn-gachibowli"
"515","Cook N Fire","Chinese, North Indian",250,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cook-n-fire-1-gachibowli"
"516","Onepm","South Indian, Andhra",200,"12:30pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/onepm-gachibowli"
"517","Royal Shawarma Corner","Arabian",250,"4pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/royal-shawarma-corner-gachibowli"
"518","Manasa Grand","South Indian",200,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/manasa-grand-gachibowli"
"519","Akshaya Restaurant","South Indian",300,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/akshaya-restaurant-1-gachibowli"
"520","Hatti Kaapi","South Indian, Beverages",250,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hatti-kaapi-2-gachibowli"
"521","Raw Bytes","Juices, Beverages",150,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/raw-bytes-gachibowli"
"522","Hotel Balaji","North Indian, Chinese",400,"11am – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hotel-balaji-gachibowli"
"523","Being Foodie Biryanis","Biryani, Fast Food",300,"7pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/being-foodie-biryanis-gachibowli"
"524","Be'wiched","North Indian",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bewiched-gachibowli"
"525","Yummi Shawarma Hub","Lebanese, Fast Food",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/yummi-shawarma-hub-gachibowli"
"526","Apna Dosa","South Indian",250,"5pm – 11pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/apna-dosa-gachibowli"
"527","Creamery Thickshake Zone","Beverages, Desserts",300,"4pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/creamery-thickshake-zone-gachibowli"
"528","#Hunger Cure","North Indian, Chinese",500,"8am – 11:30pm (Mon),8am – 12midnight (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/hunger-cure-1-gachibowli"
"529","O'Biryani by OYO","Biryani",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/obiryani-by-oyo-gachibowli"
"530","The Chinese Bowl","Chinese",400,"10am – 2am (Mon, Fri, Sat, Sun), 12noon – 11pm...",NA,"https://www.zomato.com/hyderabad/the-chinese-bowl-gachibowli"
"531","Food Pepper","North Indian, South Indian, Healthy Food",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-pepper-gachibowli"
"532","Say Samosay","Street Food",100,"12noon – 8pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/say-samosay-gachibowli"
"533","London Bubble Co.","Desserts, Bubble Tea",400,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/london-bubble-co-gachibowli"
"534","House of Dosas","South Indian",150,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/house-of-dosas-gachibowli"
"535","Sizziling China","Chinese",400,"1:30pm – 11:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sizziling-china-gachibowli"
"536","The J","Fast Food, Beverages",400,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-j-gachibowli"
"537","Indochi","North Indian, Chinese",700,"11:30am – 3:30pm, 7pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/indochi-gachibowli"
"538","Dark Stone","Desserts, Beverages",300,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dark-stone-gachibowli"
"539","Happy Eats","North Indian, Continental",300,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/happy-eats-gachibowli"
"540","Kuchkus Kitchen","North Indian",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kuchkus-kitchen-gachibowli"
"541","Kakathiya Food Court","North Indian, Mughlai",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kakathiya-food-court-gachibowli"
"542","Millet Street","North Indian",500,"10:30am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/millet-street-gachibowli"
"543","M.A Food Hub","Biryani, Chinese",350,NA,NA,"https://www.zomato.com/hyderabad/m-a-food-hub-gachibowli"
"544","The Tea Planet","Tea",150,"2pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-tea-planet-1-gachibowli"
"545","Gujrati Food & Snack","Street Food, Fast Food",250,"4pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gujrati-food-snack-gachibowli"
"546","Sukha Sagara","South Indian, Chinese",200,"6am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sukha-sagara-gachibowli"
"547","Menu Home Cooked","North Indian, South Indian",350,"11am – 10pm (Mon, Wed, Thu, Fri, Sat, Sun), Closed...",NA,"https://www.zomato.com/hyderabad/menu-home-cooked-gachibowli"
"548","Y9 Multicuisine Restaurant","Biryani, Australian, Chinese, Arabian, Tea",500,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/y9-multicuisine-restaurant-1-gachibowli"
"549","Baithak Where Else","North Indian, Fast Food",600,"7am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/baithak-where-else-gachibowli"
"550","Kulfiholics","Ice Cream, Desserts",100,"11:30am – 9:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kulfiholics-gachibowli"
"551","Taste Of Chicken","North Indian",250,"4pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/taste-of-chicken-gachibowli"
"552","Srirama Excellency","North Indian, Chinese",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/srirama-excellency-gachibowli"
"553","What The Food","Hyderabadi, Chinese",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/what-the-food-gachibowli"
"554","Empire Food Court","North Indian, Mughlai",400,"6pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/empire-food-court-gachibowli"
"555","ChickenWalla","North Indian, South Indian, Desserts",500,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chickenwalla-gachibowli"
"556","Pandu Tiffins","South Indian",100,"7am – 2pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pandu-tiffins-gachibowli"
"557","Laziz Momos","Chinese",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/laziz-momos-gachibowli"
"558","Hazel 3 Shakes","Beverages",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hazel-3-shakes-gachibowli"
"559","Nakshatra Food Court","North Indian, Chinese",450,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/nakshatra-food-court-gachibowli"
"560","King Of Thickshakes","Beverages",300,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/king-of-thickshakes-gachibowli"
"561","Hyderabad Spices","Hyderabadi",300,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hyderabad-spices-gachibowli"
"562","Sri Sai Ganesh Chicken Biryani And Curry point","Andhra, Biryani, Fast Food",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-sai-ganesh-chicken-biryani-and-curry-point-gachibowli"
"563","Ants Cafe","North Indian, Chinese, Continental",600,NA,NA,"https://www.zomato.com/hyderabad/ants-cafe-gachibowli"
"564","Dall House","North Indian, South Indian, Chinese, Beverages",350,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dall-house-gachibowli"
"565","Amma Chethivantalu","South Indian",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/amma-chethivantalu-gachibowli"
"566","Fries And Cones","American",500,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fries-and-cones-gachibowli"
"567","ABC - Absolutely Broasted Chicken","Fast Food",450,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/abc-absolutely-broasted-chicken-gachibowli"
"568","Mr Biryani Box","Biryani, Chinese, South Indian",450,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mr-biryani-box-gachibowli"
"569","Cactus Food Court","North Indian, Chinese, Fast Food",400,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cactus-food-court-gachibowli"
"570","Ammamma Gari Vanta","South Indian, North Indian",350,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ammamma-gari-vanta-gachibowli"
"571","Sri Lakshmi Narsimha Tiffins and Meals","North Indian",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-lakshmi-narsimha-tiffins-and-meals-gachibowli"
"572","Snack Wagon","Bakery, Desserts",300,"8am – 4pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/snack-wagon-gachibowli"
"573","Hn Muttu's","South Indian",100,"4pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hn-muttu-039-s-gachibowli"
"574","International Juice And Icecream","Beverages, Fast Food",200,"10:30am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/international-juice-and-icecream-gachibowli"
"575","Ripe Earth","Juices",150,"11am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ripe-earth-gachibowli"
"576","Dun Express","North Indian",350,"7:30pm – 10:30pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/dun-express-gachibowli"
"577","S L Bakers","Bakery",200,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/s-l-bakers-gachibowli"
"578","Manuu Cafeteria","North Indian, South Indian, Chinese",300,"9am – 9pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/manuu-cafeteria-gachibowli"
"579","Scoops Ice Cream","Desserts",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/scoops-ice-cream-gachibowli"
"580","Rice Bucket","Fast Food",300,"7am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rice-bucket-gachibowli"
"581","Shri Krishna Foods","South Indian",150,"9:30am – 5pm (Mon, Tue, Thu, Fri, Sat, Sun)...",NA,"https://www.zomato.com/hyderabad/shri-krishna-foods-gachibowli"
"582","Parantha Pundit","North Indian",250,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/parantha-pundit-gachibowli"
"583","The Kebab House","Kebab, Chinese, Beverages",400,"7pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-kebab-house-gachibowli"
"584","Urban Kebab Rolls","Rolls",100,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/urban-kebab-rolls-gachibowli"
"585","Master of Momos","Momos",150,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/master-of-momos-gachibowli"
"586","Spring Leafs Lemon Grass","North Indian, Chinese",300,"5:30am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/spring-leafs-lemon-grass-gachibowli"
"587","To Go Box","South Indian",500,"12noon – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/to-go-box-gachibowli"
"588","Six Addictions","Bakery, Desserts",150,"9am – 8pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/six-addictions-gachibowli"
"589","Smoky Shawarma","Lebanese, Fast Food",200,"12noon – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/smoky-shawarma-gachibowli"
"590","Padmasri Homely Food","Andhra, South Indian",300,"11am – 3pm, 6pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/padmasri-homely-food-gachibowli"
"591","Parathe Balle Balle","North Indian",300,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/parathe-balle-balle-gachibowli"
"592","RS Chips and Italian Food","Italian",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rs-chips-and-italian-food-gachibowli"
"593","Jai Bhavani Food Court","Biryani, Chinese, South Indian",450,"12noon – 3pm, 7pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jai-bhavani-food-court-gachibowli"
"594","3C Cakes & Cookies","Bakery, Fast Food",200,"9am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/3c-cakes-cookies-gachibowli"
"595","Josh","Fast Food",400,NA,NA,"https://www.zomato.com/hyderabad/josh-gachibowli"
"596","Momo Time","Momos, Chinese",300,NA,NA,"https://www.zomato.com/hyderabad/momo-time-gachibowli"
"597","Waffle In The Box","Desserts",300,"7:30am – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/waffle-in-the-box-gachibowli"
"598","Season Food Court","Mughlai, North Indian, Biryani",500,"1pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/season-food-court-gachibowli"
"599","Flavors Kitchen","South Indian",300,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/flavors-kitchen-gachibowli"
"600","R & V Special Biryani","Biryani, North Indian, Chinese",300,NA,NA,"https://www.zomato.com/hyderabad/r-v-special-biryani-gachibowli"
"601","Spice Gossips","Chinese, North Indian",600,"12noon – 11:15pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/spice-gossips-gachibowli"
"602","Ever Green TeaSpot","Fast Food",300,"4pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ever-green-teaspot-gachibowli"
"603","Hungers Hut","South Indian, Hyderabadi, North Indian, Fast Food",300,"10am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hungers-hut-gachibowli"
"604","Sree Sai Multicuisine Restaurant","South Indian",150,"7am – 3:30pm, 6:30pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sree-sai-multicuisine-restaurant-gachibowli"
"605","Urban Kebab","Kebab, Rolls",200,NA,NA,"https://www.zomato.com/hyderabad/urban-kebab-gachibowli"
"606","Sri Sai Tiffins","South Indian",150,"6am – 1pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-sai-tiffins-gachibowli"
"607","Gole Wala And Lassi","Desserts, Beverages",100,"12noon – 5am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gole-wala-and-lassi-gachibowli"
"608","Pirates Of Grill","North Indian, Chinese, Mughlai",600,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pirates-of-grill-gachibowli"
"609","Parathe Sulthanat","North Indian",300,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/parathe-sulthanat-gachibowli"
"610","Singhs Ka Swag","North Indian, Biryani",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/singhs-ka-swag-gachibowli"
"611","Favourite Restaurant","North Indian, Chinese",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/favourite-restaurant-gachibowli"
"612","Taste Of Nawab","North Indian, Rolls, Mughlai, Chinese",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/taste-of-nawab-gachibowli"
"613","Biryani & puloa","Biryani",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/biryani-puloa-gachibowli"
"614","Tandoor Singh","North Indian, Chinese, Rolls",500,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tandoor-singh-gachibowli"
