"restaurant_name","cuisines","cost","timings","collections","url"
"Istah - Sizzling Shawarmas","Arabian, Mediterranean",400,"8am – 3am (Mon-Sun)","Best shawarmas","https://www.zomato.com/hyderabad/istah-sizzling-shawarmas-1-gachibowli"
"Pulav House","South Indian, North Indian, Chinese",600,"Closed (Mon),11am – 11pm (Tue-Wed),11am –...",NA,"https://www.zomato.com/hyderabad/pulav-house-gachibowli"
"Balaji Rajasthan Food House","Rajasthani, North Indian",250,"11am – 3:30pm, 7pm – 10:30pm (Mon-Sun)","Terrific Thalis","https://www.zomato.com/hyderabad/balaji-rajasthan-food-house-gachibowli"
"Naina Tiffins & Meals","North Indian, South Indian, Chinese",200,"6:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/naina-tiffins-meals-gachibowli"
"Rasbahar","Mithai, Fast Food",250,"9am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rasbahar-gachibowli"
"Firangi Bake","Mexican, Italian",600,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/firangi-bake-gachibowli"
"Bangkok 169","Thai, Asian, Chinese",800,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bangkok-169-1-gachibowli"
"The Punjabis Swag","Chinese, Continental",500,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)","Hyderabad's Hottest","https://www.zomato.com/hyderabad/the-punjabis-swag-gachibowli"
"Malabar Magic","Kerala",300,"12:30pm – 11:50pm (Mon, Wed, Thu, Fri, Sat, Sun)...",NA,"https://www.zomato.com/hyderabad/malabar-magic-gachibowli"
"Punjabi Bytes","North Indian",250,"12:30pm – 3pm, 8pm – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/punjabi-bytes-gachibowli"
"Plush Creamery","Desserts",300,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/plush-creamery-1-gachibowli"
"Keshav Reddy Sweets","Mithai, Fast Food",250,"9am – 9:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/keshav-reddy-sweets-gachibowli"
"Hong Kong Chinese Restaurant","Chinese",700,"12noon – 3pm, 7pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hong-kong-chinese-restaurant-gachibowli"
"Budget Meal","North Indian, South Indian, Chinese, Continental",700,"10:30am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/budget-meal-gachibowli"
"Blu Ginger","North Indian, Biryani",550,"12noon – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/blu-ginger-gachibowli"
"Biryani & U","Biryani",300,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/biryani-u-gachibowli"
"Chama Gaucha","South American",2200,"7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chama-gaucha-gachibowli"
"Chicken Shawarma Hub","Rolls, Lebanese",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chicken-shawarma-hub-gachibowli"
"Planet Gravy","North Indian, South Indian, Chinese",400,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/planet-gravy-gachibowli"
"Fine Food Court","North Indian, Chinese, Seafood",450,"11:30am – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fine-food-court-gachibowli"
"AM-PM Food Court","Fast Food",200,"1pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/am-pm-food-court-1-gachibowli"
"Balaji Santosh Family Dhaba","North Indian, Chinese",600,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/balaji-santosh-family-dhaba-gachibowli"
"Hitex Santosh Dhaba","North Indian, Chinese",600,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hitex-santosh-dhaba-gachibowli"
"Pariwar Eatery","North Indian, Chinese",350,"3pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pariwar-eatery-gachibowli"
"Gujarati Mess","Gujarati",200,"12noon – 3pm, 7pm – 9:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gujarati-mess-gachibowli"
"Cafe De Loco","Cafe, Tea, Fast Food",700,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/cafedeloco"
"AM-PM Dosa Point","South Indian",150,"1pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/am-pm-dosa-point-gachibowli"
"WAI-KIKI - Polynesian Resto Bar","Seafood",3000,"12noon – 3pm, 7pm – 11pm (Mon, Tue, Wed, Thu...",NA,"https://www.zomato.com/hyderabad/wai-kiki-polynesian-resto-bar-gachibowli"
"The Egg Stop - Omelette Cafe","American, Beverages",500,"12midnight – 1am, 7:30am – 12midnight...",NA,"https://www.zomato.com/hyderabad/the-egg-stop-omelette-cafe-gachibowli"
"Grill Point","North Indian, Kebab",500,"10am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/grill-point-gachibowli"
"Cafe 115: Oakwoood Residence Kapil Hyderabad","Continental, Desserts, Beverages",350,"7:30am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/cafe115"
"Chakhh De Punjab","North Indian, Chinese",500,"11:30am – 3:30pm, 6:30pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chakhh-de-punjab-gachibowli"
"Punjabi Bhatti","North Indian, Chinese",400,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/punjabi-bhatti-1-gachibowli"
"Healthie","Healthy Food, Sandwich, Salad, Juices, Desserts, Beverages",600,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/healthie-gachibowli"
"Cusino","North Indian, Chinese",500,"12midnight – 2am, 1pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cusino-gachibowli"
"Yosta Xpress","Beverages, Sandwich",150,"11am – 11pm (Mon-Sun)","Pocket Friendly","https://www.zomato.com/hyderabad/yosta-xpress-gachibowli"
"Mist n Creams","Ice Cream, Desserts",300,"11:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mist-n-creams-gachibowli"
"Cakesclub.com","Bakery, Desserts",300,"10am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cakesclub-com-gachibowli"
"Swadisht","South Indian, North Indian",300,"7:30am – 1:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/swadisht-gachibowli"
"Golconda Chefs","Andhra, Biryani, Chinese, Mughlai",600,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/golconda-chefs-gachibowli"
"Cafe Coffee Day","Cafe, Desserts, Beverages, Sandwich",500,"10am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cafe-coffee-day-gachibowli"
"Milkshake Buffin","Beverages, Desserts",300,"11am – 12midnight (Mon-Sun)","Best Milkshakes","https://www.zomato.com/hyderabad/milkshake-buffin-gachibowli"
"Granny's Art Café","Cafe, North Indian, Italian",300,"Closed (Mon),10am – 11pm (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/grannys-art-café-gachibowli"
"Keventers","Desserts, Beverages, Ice Cream",400,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/keventers-gachibowli"
"Sweet Truth","Desserts",300,"9am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sweet-truth-gachibowli"
"Deori- Hyatt Hyderabad Gachibowli","North Indian, Andhra",2500,"7pm – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/deori-hyatt-hyderabad-gachibowli-gachibowli"
"Masquerade","North Indian, Chinese, Fast Food, Asian, Mexican, Italian, Desserts",1000,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/masquerade-gachibowli"
"The ThickShake Factory","Beverages",300,"10am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-thickshake-factory-1-gachibowli"
"Amamma Ruchulu","South Indian, North Indian, Biryani",250,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/amamma-ruchulu-gachibowli"
"Village Aaharam","South Indian",150,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/village-aaharam-gachibowli"
"Raju Gari Pulao","South Indian",800,"12:30pm – 3:30pm, 7pm – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/raju-gari-pulao-gachibowli"
"Khaanagiri","North Indian, South Indian",400,"7:30pm – 3am (Mon-Fri),12noon – 2:30pm, 7:30pm...",NA,"https://www.zomato.com/hyderabad/khaanagiri-gachibowli"
"Royal Juice Bar and Snacks","Fast Food, Beverages, Juices",150,"10am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/royal-juice-bar-and-snacks-gachibowli"
"Hop In","Fast Food, Desserts, Beverages",500,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hop-in-gachibowli"
"Roll Darbar","Fast Food, Rolls",200,"11:30am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/roll-darbar-gachibowli"
"Devour","Continental, Mexican, Fast Food, Italian, Pizza",400,"12:30pm – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/devour-gachibowli"
"13 Rice Bowls","Chinese",300,"12noon – 10:30pm (Mon-Tue),12noon – 3pm, 6pm –...",NA,"https://www.zomato.com/hyderabad/13-rice-bowls-gachibowli"
"Little Andhra","South Indian",350,"12noon – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/little-andhra-1-gachibowli"
"Spoonly","North Indian, Biryani",400,"10am – 1pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/spoonly-gachibowli"
"Shawarma Stop & Arabian Delight","Lebanese, Momos, Sandwich",300,"2pm – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shawarma-stop-arabian-delight-gachibowli"
"InnerChef","North Indian, South Indian, Italian, Continental, Mediterranean, Lebanese, Desserts, Beverages",500,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/innerchef-gachibowli"
"Deepak Edla's Kitchen","Chinese, North Indian, South Indian",250,"Closed (Mon),11am – 3pm, 7pm – 10pm (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/deepak-edlas-kitchen-gachibowli"
"Sweet Magic","Andhra, North Indian, Mithai",700,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sweet-magic-gachibowli"
"The Chennai Cafe","South Indian",200,"8am – 10:30pm (Mon-Sat),8am – 3:30pm (Sun)",NA,"https://www.zomato.com/hyderabad/the-chennai-cafe-gachibowli"
"Parampara- 'The Mithai Shop'","Mithai, Street Food",500,"8am – 10:30pm (Mon-Sun)","Sweet shops","https://www.zomato.com/hyderabad/parampara-the-mithai-shop-gachibowli"
"Bihari Dhaba","North Indian, Bihari",250,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bihari-dhaba-gachibowli"
"Foreign Café","American, Italian, Continental, Burger, Sandwich",650,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/foreign-café-gachibowli"
"Kobe Sizzler","Asian, Chinese",1100,"12noon – 11pm (Mon-Sun)","Corporate Favorites","https://www.zomato.com/hyderabad/kobe-sizzler-gachibowli"
"Munchieez","Continental, Mexican, Italian, North Indian, Chinese",400,"12midnight – 1am, 7am – 11am, 1pm – 12midnight...",NA,"https://www.zomato.com/hyderabad/munchieez-gachibowli"
"HealthBent","South Indian, Continental",400,"11:30am – 11:35pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/healthbent-gachibowli"
"Hello Curry","North Indian, Biryani, South Indian",600,"9am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hello-curry-gachibowli"
"Foodie Cage ","North Indian, Chinese",500,"12midnight – 1am, 12noon – 12midnight...",NA,"https://www.zomato.com/hyderabad/foodie-cage-gachibowli"
"Gokul Food Point","Street Food, Chinese, North Indian",250,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gokul-food-point-gachibowli"
"Mealboys.com","North Indian",600,"10:30am – 1pm (Mon),10am – 1pm (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/mealboys-com-gachibowli"
"King's Burger","Burger, Fast Food",350,"12noon – 12midnight (Mon-Fri),11am – 12midnight...",NA,"https://www.zomato.com/hyderabad/kings-burger-gachibowli"
"Just Bake","Bakery, Desserts",300,"10am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/just-bake-gachibowli"
"Wraps and Wiches","Fast Food",300,"3:30pm – 6am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/wraps-and-wiches-gachibowli"
"The F District","North Indian, Chinese, Continental",800,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-f-district-gachibowli"
"Publick Restaurant","South Indian, Chinese, Continental, Mughlai",900,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/publick-restaurant-gachibowli"
"Malgudi Kitchen","North Indian, Chinese, Seafood, Mughlai, Biryani",650,"11am – 11pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/malgudi-kitchen-gachibowli"
"Queens Burger","Burger, Fast Food",250,"6pm – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/queens-burger-gachibowli"
"Bismi Food Court","Fast Food, Beverages",400,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bismi-food-court-gachibowli"
"The Good Bowl","Asian, Biryani, North Indian",500,"10am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-good-bowl-1-gachibowli"
"YumYumDilli","North Indian, Desserts, Beverages",500,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/yumyumdilli-gachibowli"
"Holy Moly!","Street Food, Continental",300,"3:30pm – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/holy-moly-gachibowli"
"Noodle Bar","Chinese",300,"4:15pm – 12:45AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/noodle-bar-2-gachibowli"
"Doughicious","Bakery",400,"9:30am – 10pm (Mon, Wed, Thu, Fri, Sat), 9am –...",NA,"https://www.zomato.com/hyderabad/doughicious-gachibowli"
"Shri Vaishnav Dhaba","North Indian",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shri-vaishnav-dhaba-gachibowli"
"Swaddesh Restaurant","North Indian, Chinese",500,"12noon – 4pm, 7pm – 3am (Mon-Sun)","Trending This Week","https://www.zomato.com/hyderabad/swaddesh-restaurant-gachibowli"
"9GRILL","North Indian, Andhra, Chinese",650,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/9grill-gachibowli"
"Chai Point","Beverages, Fast Food",300,"8am – 8pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chai-point-gachibowli"
"Magic Straw","Fast Food, Beverages",250,"12noon – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/magic-straw-gachibowli"
"Bicha Reddy Sweets","Mithai",350,"8:30am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bicha-reddy-sweets-gachibowli"
"Sholay The BBQ Bike","BBQ, Fast Food",350,"5pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sholay-the-bbq-bike-gachibowli"
"Zyng - Radisson Hyderabad Hitec City","Finger Food",1800,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/zyng-radisson-hyderabad-hitec-city-gachibowli"
"Indulge IceCream","Ice Cream",250,"10:30am – 12midnight (Mon-Sun)","Frozen Delights","https://www.zomato.com/hyderabad/indulge-icecream-gachibowli"
"Zomoz","Street Food",250,"5pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/zomoz-1-gachibowli"
"SkyNest","North Indian, Chinese, Street Food, Mithai",500,"6am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/skynest-gachibowli"
"Dosa Station","South Indian",150,"7:30am – 4am (Mon-Sun)",NA,"https://www.zomato.com/dosa-station-food-truck"
"Ishta Meals and Restaurant","North Indian, South Indian",400,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ishta-meals-and-restaurant-gachibowli"
"For Heaven's Cake","Bakery",500,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/for-heavens-cake-gachibowli"
"Slounge - Lemon Tree Hotel","Finger Food",2200,"5:30pm – 12midnight (Mon-Sun)","Happy Hours","https://www.zomato.com/hyderabad/slounge-lemon-tree-hotel-gachibowli"
"Alhamdulillah Hotel","Mughlai, North Indian, Chinese",400,"11am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/alhamdulillah-hotel-gachibowli"
"Whatta Waffle!","Desserts",300,"12noon – 12midnight (Mon, Thu, Sun), 2pm –...",NA,"https://www.zomato.com/hyderabad/whatta-waffle-gachibowli"
"Train Trails","South Indian",250,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/train-trails-gachibowli"
"Jarlie Fine Desserts","Desserts",200,"10am – 10:45pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jarlie-fine-desserts-gachibowli"
"Tin Shed Restaurant","North Indian, Chinese",300,"12noon – 11pm (Mon-Fri),11am – 11pm (Sat-Sun)",NA,"https://www.zomato.com/hyderabad/tin-shed-restaurant-gachibowli"
"WOK Republic","Indonesian, Thai, Chinese, Japanese, Malaysian, Momos",550,"12noon – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/wok-republic-2-gachibowli"
"Bars N Bowls Restaurant","North Indian, Mughlai, Chinese",700,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bars-n-bowls-restaurant-gachibowli"
"Kakatiya","Andhra, South Indian",850,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kakatiya-gachibowli"
"The Rice Bar","South Indian",300,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-rice-bar-gachibowli"
"Thalis of India","North Indian, South Indian, Desserts, Beverages",350,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/thalis-of-india-gachibowli"
"The English Cafe","Cafe, Continental, Chinese",1200,"12noon – 12midnight (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad, Newly Opened","https://www.zomato.com/hyderabad/the-english-cafe-gachibowli"
"Lunar Bakers","Bakery, Desserts, Fast Food",400,"10:30am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bakers-inn-gachibowli"
"Hunger's Kitchen","North Indian, Fast Food, Biryani",400,"9am – 12midnight (Mon, Thu, Fri, Sat, Sun), 9am...",NA,"https://www.zomato.com/hyderabad/hungers-kitchen-gachibowli"
"Budmaash Biryani","Biryani, Hyderabadi, North Indian, Chinese",250,"7am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/budmaash-biryani-gachibowli"
"Alchemy Lounge - Ellaa Hotels","Mediterranean",1900,"12:30pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/alchemy-lounge-ellaa-hotels-gachibowli"
"The Lounge Bar- Hyatt Hyderabad Gachibowli","North Indian, Modern Indian, Finger Food",2500,"1am – 12:45AM (Mon-Sun)","Live Sports Screenings","https://www.zomato.com/hyderabad/the-lounge-bar-hyatt-hyderabad-gachibowli-gachibowli"
"Haku Sizzlers","Fast Food, Chinese",500,"11:45am – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/haku-sizzlers-gachibowli"
"Doner Bistro","Lebanese, Fast Food",300,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/doner-bistro-gachibowli"
"10 Pounder Pizzateria","Pizza, Fast Food",400,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/10-pounder-pizzateria-gachibowli"
"Grand Spicy Bawarchi","North Indian, Mughlai, Chinese, Seafood, Biryani",600,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/grand-spicy-bawarchi-gachibowli"
"Udipi Sri Krishna Darshini","South Indian",200,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/udipi-sri-krishna-darshini-gachibowli"
"Jodhpur Wala's Food House","North Indian, Chinese",400,"11am – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jodhpur-walas-food-house-gachibowli"
"Y9 Multicuisine Restaurant","South Indian, Chinese",500,"12midnight – 1am, 12:30pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/y9-multicuisine-restaurant-gachibowli"
"SK Shawarma","Lebanese",350,"6pm – 6am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sk-shawarma-gachibowli"
"Sha Sha - Shandaar Shawarma","Middle Eastern",200,"12noon – 1:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sha-sha-shandaar-shawarma-gachibowli"
"Shake Studio","Beverages, Juices",400,"1pm – 3am (Mon-Sun)","Best Milkshakes","https://www.zomato.com/hyderabad/shake-studio-gachibowli"
"WAFL Café","Desserts, Fast Food, American, Beverages",400,"11am – 11pm (Mon-Fri),11am – 12midnight (Sat-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/wafl-café-gachibowli"
"Southern Express","Fast Food, Chinese",500,"11am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/southern-express-gachibowli"
"Waffle and Co","Desserts, Bakery, Beverages",350,"11:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/waffle-and-co-gachibowli"
"Ginger N Spices -Bengali Raanaghar","Bengali, North Indian, Chinese",400,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ginger-n-spices-bengali-raanaghar-gachibowli"
"YumYumSouth","South Indian, Beverages",600,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/yumyumsouth-gachibowli"
"Mani Chandana Restaurant","North Indian, Chinese",400,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mani-chandana-restaurant-gachibowli"
"Madurai Cafe","South Indian, Chinese",250,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/madurai-cafe-gachibowli"
"Frying Pan","Fast Food",350,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/frying-pan-1-gachibowli"
"Friends Foods","South Indian",200,"5:30pm – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/friends-foods-gachibowli"
"Zaika 29","North Indian, Chinese, Mughlai",350,"11:30am – 3:30pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/zaika-29-gachibowli"
"Captain Smoothie","Beverages, Fast Food",500,"9am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/captain-smoothie-gachibowli"
"Food Cave","Chinese, North Indian",300,"5pm – 3:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-cave-gachibowli"
"Rayalaseema Traditional Foods","Andhra, South Indian",600,"10:30am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rayalaseema-traditional-foods-gachibowli"
"Mucho Gusto","Continental, Fast Food, Italian",300,"1pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mucho-gusto-gachibowli"
"Italia - Ellaa Hotels","Italian",1500,"7:30pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/italia-ellaa-hotels-gachibowli"
"AutoExpress - Hot Dogs","Fast Food",300,"5:15pm – 9:15pm (Mon-Sun)",NA,"https://www.zomato.com/autoexpress-hot-dogs-3-food-tr"
"Palle Vantakallu","Biryani, Chinese",350,"10:30am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/palle-vantakallu-gachibowli"
"Pizza Crust","Pizza",200,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pizza-crust-gachibowli"
"Abu Xpress Shawarma","Arabian, Fast Food",300,"7am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/abu-xpress-shawarma-gachibowli"
"Minerva Xpress","South Indian",100,"7:30am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/minerva-xpress-1-gachibowli"
"Godavari Ruchulu","South Indian, Chinese",300,"7am – 4pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/godavari-ruchulu-gachibowli"
"Food Resto","Fast Food",150,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-resto-1-gachibowli"
"Desi Fusion","North Indian, Chinese",250,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/desi-fusion-gachibowli"
"Suraj Restaurant & Bar","North Indian, Chinese",1000,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/suraj-restaurant-bar-gachibowli"
"Chicken Wala","North Indian, Mughlai, Chinese",350,"11am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chicken-wala-gachibowli"
"Beats & Roots","North Indian",450,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/beats-roots-gachibowli"
"The Rolling Stoves","Chinese, North Indian",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-rolling-stoves-gachibowli"
"Kokkorokko","South Indian, Chinese",300,"6:30am – 12midnight (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/kokkorokko-gachibowli"
"Shtuff","Chinese, Mexican",400,"12noon – 2:30am (Mon-Sun)",NA,"https://www.zomato.com/shtuff"
