"restaurant_name","cuisines","cost","timings","collections","url"
"Annapurna Restaurant","North Indian, Chinese",500,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/annapurna-restaurant-1-gachibowli"
"Punjab Express","North Indian",300,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/punjab-express-gachibowli"
"DesiFry","North Indian",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/desifry-gachibowli"
"Baskin Robbins","Desserts, Ice Cream, Beverages",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/baskin-robbins-1-gachibowli"
"Deli-ciosa","Desserts, Bakery",250,"9:30am – 10:30pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/deli-ciosa-gachibowli"
"Hyderabad Darbar","Hyderabadi, Chinese",750,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hyderabad-darbar-gachibowli"
"Swagatam","North Indian, Chinese",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/swagatam-gachibowli"
"Lassi Shop","Beverages, Sandwich",150,"1pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lassi-shop-1-gachibowli"
"Jaggi De Parathe","North Indian, Chinese",550,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jaggi-de-parathe-gachibowli"
"Food U","Beverages, Juices",300,"8am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-u-gachibowli"
"Punjabi Affair","North Indian, Chinese, Mughlai",800,"12noon – 6pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/punjabi-affair-1-gachibowli"
"Kitchen Garden","North Indian",350,"2pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kitchen-garden-gachibowli"
"Kebab Pavilion - Ellaa Hotels","Hyderabadi, Mughlai",1200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kebab-pavilion-ellaa-hotels-gachibowli"
"Waffled","Desserts, Beverages",200,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/waffled-gachibowli"
"Bellyful","Chinese, Andhra, North Indian",400,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bellyful-gachibowli"
"Areen Kababs And Grill","Kebab, Biryani, North Indian, Mughlai",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/areen-kababs-and-grill-gachibowli"
"Roll Zone","Fast Food, Rolls",200,"11am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/roll-zone-1-gachibowli"
"Bombay Sandwich Company","Sandwich, Desserts, Beverages",400,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bombay-sandwich-company-gachibowli"
"Baguette Salads","Salad, Healthy Food, Beverages",500,"9am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/baguette-salads-gachibowli"
"Orange Foods","South Indian, North Indian, Chinese",300,"10:30am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/orange-foods-1-gachibowli"
"Al-Araab8 Biryani's & Mandi","North Indian, Chinese",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/al-araab8-biryanis-mandi-gachibowli"
"Seven Hills Delhi Chaat","Street Food",150,"3pm – 9:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/seven-hills-delhi-chaat-gachibowli"
"Oye Punjabi","North Indian",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/oye-punjabi-gachibowli"
"Exit No 1 Drive in Restaurant","South Indian, North Indian, Chinese, Fast Food",300,"12:30pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/exit-no-1-drive-in-restaurant-1-gachibowli"
"Taste of Godavari","South Indian",300,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/taste-of-godavari-food-truck"
"Leaf Green Hotel","North Indian, Chinese",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/leaf-green-hotel-gachibowli"
"Mehraan Restaurant and Banquets","Chinese, Arabian, Kebab",500,"12noon – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mehraan-restaurant-and-banquets-gachibowli"
"Woks & Tongs","Chinese",700,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/woks-tongs-gachibowli"
"Salty Pepper","North Indian, Chinese",250,"12noon – 3:30pm (Mon),11am – 1am (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/salty-pepper-1-gachibowli"
"Greens & More","Healthy Food",400,"8am – 7pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/greens-more-gachibowli"
"Maharaja Hotel","North Indian, Mughlai",500,"12noon – 4pm, 7pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/maharaja-hotel-gachibowli"
"Game Of Kitchens","North Indian, South Indian, Biryani, Chinese",250,"11am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/game-of-kitchens-gachibowli"
"Jitus Kitchen & Dine","Chettinad",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jitus-kitchen-dine-gachibowli"
"Jumboking VadaPav","Street Food",200,"11:55am – 12midnight (Mon-Fri),11:15am –...",NA,"https://www.zomato.com/hyderabad/jumboking-vadapav-gachibowli"
"24/7 Shawarma And Migge More","Fast Food, Lebanese",200,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/24-7-shawarma-and-migge-more-gachibowli"
"Lassi Corner","Beverages, Desserts, Fast Food",200,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lassi-corner-1-gachibowli"
"World In A Bowl","Continental, American, Italian, Salad, North Indian, Desserts, Beverages",500,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/world-in-a-bowl-gachibowli"
"Golden Flames","North Indian, Chinese, Continental",700,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/golden-flames-gachibowli"
"New York Slice","Pizza, Beverages",500,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/new-york-slice-gachibowli"
"INDULGE by InnerChef","Desserts, Bakery, Ice Cream",400,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/indulge-by-innerchef-gachibowli"
"D-Lite Frankie","Rolls",150,"12noon – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/d-lite-frankie-gachibowli"
"Gappe Vappe","Street Food",250,"2pm – 10pm (Mon-Fri),12noon – 12midnight (Sat-Sun)",NA,"https://www.zomato.com/hyderabad/gappe-vappe-gachibowli"
"Dhaba Shaba","North Indian, Chinese",650,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dhaba-shaba-gachibowli"
"Far East Asia","Chinese, Thai, Asian, Sri Lankan, Momos",500,"11:30am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/far-east-asia-gachibowli"
"Alforno","Fast Food, Italian, Pizza",500,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/alforno-gachibowli"
"Rocks - Ellaa Hotels","Finger Food, North Indian, South Indian",1600,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rocks-ellaa-hotels-gachibowli"
"Sri Nellore Mess","Andhra",200,"12noon – 4pm, 8pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-nellore-mess-gachibowli"
"Tasty Grand Paradise","Chinese, North Indian, Biryani",500,"11:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tasty-grand-paradise-gachibowli"
"Plate Home","North Indian, South Indian, Chinese",300,"11am – 3:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/plate-home-gachibowli"
"Swadisht Biryani And Paratha","North Indian, Hyderabadi, Fast Food",400,"11:30am – 1:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/swadisht-biryani-and-paratha-gachibowli"
"Healthy Wealthy.co","Healthy Food, Continental",550,"7am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/healthy-wealthy-co-gachibowli"
"Flavorz","Healthy Food",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/flavorz-gachibowli"
"The Gacchi Bowl","North Indian, Kebab, Biryani, Hyderabadi, Mughlai",500,"12noon – 3pm, 7:30pm – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-gacchi-bowl-gachibowli"
"Bamboo Street","North Indian, Chinese",1200,"12noon – 12midnight (Mon-Fri),12midnight – 1am...",NA,"https://www.zomato.com/hyderabad/bamboo-street-gachibowli"
"Anu's Kitchen","North Indian, Chinese",250,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/anus-kitchen-gachibowli"
"7 Eleven","North Indian, Chinese",800,"7am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/7-eleven-gachibowli"
"De Bohemian Cafe","Fast Food, Desserts, Beverages",400,"11:30am – 11pm (Mon-Fri),11:30am – 11:30pm...",NA,"https://www.zomato.com/hyderabad/de-bohemian-cafe-gachibowli"
"BBQ Ride","BBQ",200,"7pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/bbq-ride-food-truck"
"King Of Thickshakes","Beverages",300,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/king-of-thickshakes-gachibowli"
"Aaswada","South Indian",500,"11am – 3pm, 6pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/aaswada-gachibowli"
"Chinese Aroma","Chinese, North Indian, Fast Food",600,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chinese-aroma-gachibowli"
"I Was ( Waffles & Shake ) Here","Desserts, Beverages",200,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/i-was-waffles-shake-here-gachibowli"
"Shah Ghouse Pantry","Beverages, Desserts, Ice Cream",300,"11am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shah-ghouse-pantry-gachibowli"
"Akhil Chinese Fast Food Centre","Chinese",200,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/akhil-chinese-fast-food-centre-gachibowli"
"Fire Blast Biryanis","South Indian, Biryani",350,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fire-blast-biryanis-gachibowli"
"Roaming Hunger","South Indian",150,"6:30pm – 11pm (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/roaming-hunger-1-food-truck"
"Maadhuryam","South Indian, North Indian",200,"7am – 3:30pm, 7pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/maadhuryam-gachibowli"
"9th Food Shawarma & Biryani House","Arabian",400,"Closed (Mon),6:30pm – 1am (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/9th-food-shawarma-biryani-house-gachibowli"
"N2 Lounge & Sports Bar","Continental, Chinese, North Indian",1000,"10am – 12midnight (Mon, Tue, Wed, Thu, Sun), 10am...",NA,"https://www.zomato.com/hyderabad/n2-lounge-sports-bar-gachibowli"
"Drunken Monkey","Juices, Healthy Food",400,"8am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/drunken-monkey-gachibowli"
"Plabo","Fast Food, Chinese",500,"11am – 9pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/plabo-gachibowli"
"Wokstars","Asian, Healthy Food",400,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/wokstars-gachibowli"
"Sippy Monks","Beverages",150,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sippy-monks-gachibowli"
"Maha Lakshmi Kitchen","North Indian, Biryani",400,"11am – 4am (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/maha-lakshmi-kitchen-gachibowli"
"Haleem By Cafe 555","Hyderabadi",400,"4pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/haleem-by-cafe-555-gachibowli"
"Fuv Kitchen","North Indian, Continental",300,"10:30am – 1:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fuv-kitchen-2-gachibowli"
"Cone Pizza","Fast Food",250,"3pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cone-pizza-gachibowli"
"Cool Sip Juices & More","Beverages, Juices",150,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cool-sip-juices-more-gachibowli"
"Aroma Multicusine Restaurant","North Indian, Biryani, Continental, Chinese",1300,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/aroma-multicusine-restaurant-gachibowli"
"Milap Foodies","Street Food",300,"6pm – 5am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/milap-foodies-gachibowli"
"Cabrito Al Mataam","Hyderabadi, Seafood",500,"12noon – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cabrito-al-mataam-gachibowli"
"Kitchens Of Rajdoot","North Indian, Chinese",300,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kitchens-of-rajdoot-gachibowli"
"Food Wizard","Fast Food, Sandwich, Burger, Rolls, Beverages",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-wizard-gachibowli"
"Hungry Souls Shawarmas","Fast Food, Lebanese",300,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hungry-souls-shawarmas-gachibowli"
"Delicio Taco Truck","Mexican",250,"5pm – 12:45AM (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/delicio-taco-truck-food-truck"
"Flames & Pots","Chinese, North Indian, Biryani",300,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/flames-pots-gachibowli"
"The Burger Studio","Burger, Fast Food, North Indian, Mughlai",350,"11am – 12midnight (Mon-Sat),Closed (Sun)",NA,"https://www.zomato.com/hyderabad/the-burger-studio-1-gachibowli"
"Mr. Milkshake","Beverages",250,"1pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mr-milkshake-gachibowli"
"Jai Bhavani  Tiffin Centre","Chinese",250,"10am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/jai-bhavani-tiffin-centre-gachibowli"
"HungrySpoon - Radisson Hyderabad Hitec City","North Indian, Continental",800,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hungryspoon-radisson-hyderabad-hitec-city-gachibowli"
"Express Shawarma","Lebanese, Rolls",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/express-shawarma-gachibowli"
"Hanu Kings Burger","Fast Food",400,"10am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hanu-kings-burger-gachibowli"
"Velocity On 15 - Radisson Hyderabad Hitec City","North Indian, Finger Food, Fast Food",1500,"5pm – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/velocity-on-15-radisson-hyderabad-hitec-city-gachibowli"
"Maggis & Momos","Fast Food",200,"10am – 2am (Mon, Sat, Sun), 11am – 2am (Tue-Fri)",NA,"https://www.zomato.com/hyderabad/maggis-momos-gachibowli"
"Nourish","Beverages, Juices, Fast Food",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/nourish-gachibowli"
"Samosa Express","Street Food",150,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/samosa-express-1-gachibowli"
"Maa Vuri Ruchulu","North Indian",500,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/maa-vuri-ruchulu-gachibowli"
"Chef Bakers","Bakery, Fast Food",350,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chef-bakers-gachibowli"
"TAG- Chinese Wok","Chinese",400,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tag-chinese-wok-gachibowli"
"Dil Chatora","Street Food, Fast Food",350,"12:30pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dil-chatora-1-gachibowli"
"Cook Manager","Chinese, North Indian, South Indian",600,"11am – 11pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/cook-manager-gachibowli"
"South Indian Kitchen","South Indian, Hyderabadi",300,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/south-indian-kitchen-gachibowli"
"Alleppey Restaurant","South Indian, Kerala",200,"12noon – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/alleppey-restaurant-gachibowli"
"Al-Labbaik Shawarma","Arabian",200,"1pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/al-labbaik-shawarma-gachibowli"
"Cheesy Days","Fast Food",150,"4pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cheesy-days-1-gachibowli"
"Khatta Meetha Chaat","Street Food",200,"7:30am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/khatta-meetha-chaat-gachibowli"
"Tiffins Square","South Indian",500,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tiffins-square-gachibowli"
"Kwality Wall's Swirl's","Ice Cream, Desserts",250,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kwality-walls-swirls-gachibowli"
"Thanco's Natural Ice Cream","Desserts, Ice Cream",300,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/thancos-natural-ice-cream-gachibowli"
"Brown Bear","Bakery, Desserts",150,"9am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/brown-bear-gachibowli"
"Renuka Snax Bar","Fast Food",300,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/renuka-snax-bar-gachibowli"
"Harries Kitchen","Fast Food, Beverages, Juices, Sandwich",200,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/harries-kitchen-gachibowli"
"Chotemiyan Kebabs","Kebab, North Indian",400,"5pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chotemiyan-kebabs-gachibowli"
"Nimantran","Bengali",250,"6am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/nimantran-gachibowli"
"L House (Kebab & More)","North Indian",300,"Closed (Mon),6pm – 12midnight (Tue-Sun)",NA,"https://www.zomato.com/hyderabad/l-house-kebab-more-gachibowli"
"Madras Coffee House","Street Food, Beverages",100,"6am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/madras-coffee-house-gachibowli"
"Makers of Milkshakes","Beverages, Desserts",300,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/makers-of-milkshakes-3-gachibowli"
"Pulse Juice Bar","Beverages, Juices",150,"11am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pulse-juice-bar-gachibowli"
"Singh Saab","North Indian, Biryani",600,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/singh-saab-1-gachibowli"
"Biryani Bowl","North Indian, Biryani, Chinese",650,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/biryani-bowl-gachibowli"
"The Chaiwalas","Street Food",100,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-chaiwalas-gachibowli"
"Sweet Magic Sweets","Mithai, Fast Food",300,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sweet-magic-sweets-gachibowli"
"Fuel Factory","Beverages, Fast Food, Desserts",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/fuel-factory-gachibowli"
"Little China Kitchen","Chinese",400,"11am – 11:30pm (Mon-Tue),11:22am – 11:40pm...",NA,"https://www.zomato.com/hyderabad/little-china-kitchen-gachibowli"
"Shanghai Club","Chinese, North Indian, Biryani",500,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shanghai-club-gachibowli"
"SSP Kitchen & Dosa Station","South Indian, North Indian, Chinese",550,"7pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ssp-kitchen-dosa-station-gachibowli"
"KGN food court","Chinese, North Indian",250,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kgn-food-court-gachibowli"
"Mexico's Chicken Poppers","Fast Food",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mexicos-chicken-poppers-2-gachibowli"
"R K Chinese Fast Food","Chinese",150,"8am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/r-k-chinese-fast-food-gachibowli"
"Cake world","Bakery",550,"10am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cake-world-gachibowli"
"Cold N Creamy Shakes","Desserts, Ice Cream",200,"11am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cold-n-creamy-shakes-gachibowli"
"Sanjos Donuts","Desserts",400,"9am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sanjos-donuts-gachibowli"
"Tropical Chinese","Biryani, North Indian, Fast Food",550,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/tropical-chinese-gachibowli"
"Vegetarian Point","South Indian, Fast Food",300,"11am – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/vegetarian-point-gachibowli"
"Ya Shawarma Stop and Arabian Delight","Lebanese, Arabian",300,"2pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ya-shawarma-stop-and-arabian-delight-gachibowli"
"Ice Factory","Ice Cream",150,"12noon – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ice-factory-gachibowli"
"Smoky Pitara Takeaway","Continental, Italian, Chinese",1000,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/smoky-pitara-takeaway-gachibowli"
"Josh Restaurant","Fast Food, Beverages",250,"12midnight – 2am, 4pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/josh-restaurant-gachibowli"
"Khaanaghar","North Indian, Chinese",300,"12noon – 3pm, 7pm – 3am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/khaanaghar-gachibowli"
"Babai Abbai","South Indian, North Indian, Seafood, Chinese",600,"12noon – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/babai-abbai-gachibowli"
"Frigid Zone","Beverages, Desserts",250,"11:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/frigid-zone-gachibowli"
"The Frankey House","North Indian, Chinese",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-frankey-house-gachibowli"
"Dairy Den","Ice Cream, Desserts, Fast Food",250,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dairy-den-gachibowli"
"Grill n Fire","Chinese, North Indian, Seafood, Biryani",400,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/grill-n-fire-gachibowli"
"Hashtag Biryani","Biryani",200,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hashtag-biryani-gachibowli"
"Sky Secrets","North Indian, Chinese",750,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sky-secrets-gachibowli"
"Kothakota","North Indian, Hyderabadi",600,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/kothakota-gachibowli"
"Chef House","North Indian, South Indian, Chinese, Continental",600,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chef-house-gachibowli"
"Food Factory","North Indian, Biryani, Chinese",500,"6pm – 4am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/food-factory-gachibowli"
"It's Cakery","Bakery",200,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/its-cakery"
"Asian Kitchen","Andhra, South Indian, Chinese",700,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/asian-kitchen-gachibowli"
"Babai Pulao","Street Food, North Indian, Hyderabadi",450,"11am – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/babai-pulao-gachibowli"
"JoosVoos","Juices",200,"3pm – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/joosvoos-gachibowli"
"Coastal Kitchen","South Indian, Seafood, North Indian, Chinese",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/coastal-kitchen-gachibowli"
"What the Food","South Indian",100,"5pm – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/what-the-food-2-gachibowli"
"Sri Venkateswara Tiffins & Meals","South Indian, North Indian",100,"8am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/sri-venkateswara-tiffins-meals-gachibowli"
"Lunch Box","South Indian, North Indian, Biryani",350,"6am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lunch-box-gachibowli"
"Chai Raja","Tea, Sandwich",250,"8am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chai-raja-gachibowli"
"Happy Foods","Biryani, North Indian",600,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/happy-foods-gachibowli"
"Lassi Day Cafe","Beverages",150,"10am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/lassi-day-cafe-gachibowli"
"US Pizza","Pizza, Fast Food",800,"11am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/us-pizza-4-gachibowli"
"The Heaven Of Chinese","Chinese",300,"12noon – 3:30pm, 7pm – 3:30am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-heaven-of-chinese-gachibowli"
