Responders,Innovator,Use Message,Use Cell,Use PIM,Inf Passive,Inf Active,Remote Access,Share Inf,Monitor,Email,Web,Mmedia,Ergonomic,Monthly,Price
1,4,1,5,7,4,6,3,1,4,5,5,6,4,15,280
2,5,4,7,5,6,5,6,5,4,7,3,6,1,15,310
3,3,5,5,6,3,4,7,6,4,4,4,6,3,35,370
4,3,1,6,7,5,7,3,4,4,4,7,5,5,15,390
5,4,1,6,7,7,5,5,5,2,7,5,5,4,25,410
6,5,3,5,7,3,7,4,6,5,6,7,6,3,40,250
7,5,5,5,6,6,4,3,3,4,6,5,7,4,20,310
8,3,1,5,5,6,5,4,3,4,7,4,7,1,15,230
9,6,5,5,7,3,7,1,3,2,6,4,6,3,15,240
10,2,2,7,5,4,5,5,4,6,4,6,5,3,25,290
11,4,5,7,6,5,7,2,2,6,7,6,6,4,20,230
12,4,3,5,6,7,3,3,5,4,7,6,5,6,15,160
13,4,4,5,7,7,7,4,1,7,7,3,6,4,30,100
14,3,3,5,5,5,6,2,7,2,4,6,6,3,20,210
15,3,6,7,6,5,4,3,3,3,6,7,5,4,30,180
16,4,2,7,7,3,6,4,1,5,6,6,5,4,25,260
17,3,4,7,7,7,6,4,3,3,7,7,7,5,25,320
18,4,3,6,7,3,5,4,2,7,7,4,6,2,30,150
19,4,2,5,6,7,5,3,1,2,4,7,2,4,25,330
20,3,5,5,5,4,7,3,3,2,7,5,5,4,25,290
21,4,5,6,7,2,6,3,3,3,6,5,5,5,20,260
22,4,2,5,5,3,4,3,5,6,4,5,4,2,35,290
23,2,3,6,5,7,7,4,3,5,7,7,4,4,20,340
24,5,7,5,6,6,5,5,4,3,7,5,4,6,15,400
25,5,2,6,4,7,5,5,3,6,7,6,6,3,30,250
26,5,2,6,6,4,3,4,3,4,7,5,6,4,45,430
27,3,2,4,7,3,6,5,3,3,6,6,7,4,15,400
28,2,5,6,6,6,6,2,4,7,6,7,7,5,25,220
29,3,5,5,7,5,7,6,2,6,7,7,7,3,45,170
30,3,3,6,7,5,6,4,2,3,4,7,6,5,15,470
31,2,6,7,6,6,6,4,3,3,5,6,7,4,15,230
32,2,6,7,4,4,5,4,4,7,4,6,7,4,30,170
33,3,4,5,7,5,7,6,4,7,7,5,6,4,20,280
34,3,3,4,7,6,3,2,2,2,3,6,2,3,25,470
35,6,5,7,6,7,6,5,5,2,6,7,3,6,20,340
36,6,5,7,6,5,3,5,6,5,7,5,4,5,25,170
37,4,5,7,6,6,2,7,4,3,7,6,4,3,20,270
38,4,3,3,7,5,5,6,4,4,7,7,5,6,30,290
39,3,2,7,7,7,4,2,1,4,4,7,5,3,30,410
40,3,4,5,7,3,4,3,2,6,7,5,6,4,25,330
41,3,4,6,5,5,6,4,5,5,6,5,4,3,25,290
42,3,6,5,7,4,6,3,3,5,7,5,5,6,25,220
43,5,3,6,5,5,6,6,2,5,7,4,5,4,20,460
44,3,1,6,7,5,4,2,4,4,6,3,6,4,35,360
45,5,5,7,2,4,4,6,3,1,7,7,3,3,25,290
46,6,6,7,3,7,3,4,3,5,7,5,6,4,25,270
47,5,5,6,7,6,7,3,2,5,7,6,4,5,25,250
48,3,2,7,5,4,3,2,4,5,4,7,2,6,50,300
49,4,2,5,7,7,6,5,5,5,7,6,5,6,25,330
50,2,2,7,5,3,4,4,1,4,6,4,5,3,30,100
51,3,3,6,5,2,5,3,4,4,4,6,7,5,15,420
52,2,3,7,7,4,5,5,1,6,7,5,6,2,20,390
53,4,3,6,7,5,4,3,6,4,7,5,1,4,25,200
54,3,6,6,3,7,7,2,2,5,4,7,6,5,30,360
55,3,5,7,5,4,6,4,3,5,5,3,6,7,30,330
56,3,7,5,5,4,5,2,3,4,7,2,3,6,20,410
57,1,7,6,4,3,3,5,5,7,3,3,3,3,40,280
58,5,5,5,2,4,5,4,5,6,4,5,3,4,25,300
59,4,7,6,2,2,3,5,5,7,3,1,3,6,35,330
60,1,7,6,3,3,3,4,7,6,3,3,3,4,20,240
61,6,6,4,2,4,5,5,6,5,3,1,2,3,35,410
62,1,7,7,2,4,3,7,3,7,1,4,1,2,25,100
63,4,6,4,6,6,5,1,4,6,3,3,2,7,35,150
64,2,7,7,4,3,4,5,3,5,4,1,1,5,25,470
65,1,7,4,1,3,6,5,2,7,2,3,3,1,15,440
66,1,7,5,1,4,3,5,3,6,6,3,6,7,25,310
67,1,6,5,1,4,5,5,4,6,2,5,2,4,30,340
68,3,6,5,1,6,3,7,3,7,5,3,1,7,30,240
69,1,4,7,1,4,4,5,5,6,6,3,1,2,15,270
70,1,6,7,1,7,3,6,4,7,1,3,2,6,30,250
71,3,4,4,1,3,4,7,3,5,4,2,3,4,30,230
72,2,5,6,2,3,4,6,5,5,1,4,2,5,25,300
73,1,5,5,3,4,5,5,5,7,3,3,1,4,35,280
74,3,6,6,4,7,6,4,5,5,4,2,4,5,30,300
75,1,5,6,1,6,4,6,2,2,6,4,1,6,20,250
76,4,4,6,4,5,3,5,2,5,4,2,3,5,25,240
77,2,6,7,4,4,4,6,2,6,5,2,1,2,10,270
78,4,5,7,1,3,2,5,2,5,5,1,1,4,20,210
79,3,4,7,3,5,4,4,4,7,4,1,2,4,25,270
80,1,7,6,1,5,5,5,1,2,3,3,3,4,25,310
81,2,3,5,1,3,3,7,2,7,3,6,3,7,25,250
82,4,7,4,1,1,5,7,4,7,3,2,3,3,25,190
83,1,6,4,1,7,3,6,6,5,6,5,1,6,25,220
84,2,5,7,2,3,5,5,5,4,2,4,2,1,25,370
85,3,4,6,3,3,4,7,3,5,2,2,5,3,15,100
86,1,4,7,1,5,3,5,3,5,2,3,5,3,25,230
87,5,7,4,2,3,4,7,5,7,4,2,2,3,20,360
88,1,6,6,4,3,1,5,1,4,1,4,2,5,10,260
89,1,5,5,1,5,6,7,5,7,2,2,5,4,35,320
90,1,6,6,2,7,2,2,3,7,3,4,2,3,25,260
91,4,6,6,3,2,3,5,3,6,3,6,2,6,20,210
92,3,4,4,3,3,6,4,4,5,2,3,4,2,25,260
93,3,4,4,2,4,5,4,3,7,1,4,1,5,25,100
94,1,7,4,2,3,3,4,3,4,4,3,3,2,20,100
95,5,7,5,4,2,5,7,3,7,3,3,3,3,25,130
96,2,5,7,3,1,3,7,2,5,5,5,2,4,20,130
97,1,3,4,1,2,3,3,6,6,3,1,2,6,15,360
98,2,7,5,2,4,3,7,2,4,3,2,2,5,30,310
99,4,6,5,1,3,3,6,5,4,3,1,1,1,35,370
100,3,7,5,1,3,1,6,3,5,2,2,1,1,25,380
101,4,7,5,1,6,4,6,4,7,3,4,1,7,30,340
102,3,5,4,6,3,5,4,4,5,4,5,3,4,25,340
103,1,4,4,1,3,3,3,4,5,2,4,1,4,30,330
104,2,4,6,3,4,4,4,5,5,2,4,1,3,20,220
105,4,4,5,2,3,5,1,2,3,5,4,5,7,30,460
106,6,3,7,4,4,2,1,3,4,7,7,6,7,25,480
107,4,3,6,4,4,6,3,4,4,5,7,4,4,25,350
108,5,6,7,1,1,6,2,3,4,6,4,6,7,40,460
109,2,1,5,4,6,2,2,3,5,7,7,5,4,35,270
110,4,3,6,5,5,2,1,4,4,4,7,4,6,30,380
111,5,3,7,4,5,2,3,2,4,5,7,5,7,25,390
112,6,5,7,4,5,3,1,4,4,6,5,5,7,20,370
113,5,3,5,3,3,2,4,3,2,5,7,7,7,30,390
114,6,6,7,5,3,4,6,5,4,4,7,4,4,35,410
115,5,4,6,4,4,1,2,2,5,6,4,6,5,25,430
116,5,1,7,5,3,3,1,2,7,5,6,4,6,25,340
117,5,4,7,5,4,5,1,4,5,7,7,4,5,25,390
118,5,4,6,5,5,5,3,5,6,6,5,3,6,30,420
119,5,3,6,4,5,2,4,3,5,7,6,3,7,20,370
120,6,2,4,2,2,3,5,3,7,6,7,5,6,35,320
121,5,5,3,3,2,5,3,3,7,7,5,3,6,35,360
122,7,4,5,7,2,4,4,5,6,5,7,7,7,15,380
123,6,3,5,5,5,2,1,7,4,5,6,3,7,30,620
124,6,3,7,2,4,4,1,2,3,6,7,6,5,35,390
125,3,4,7,4,3,4,1,2,4,7,5,7,6,35,420
126,4,4,7,3,4,6,3,2,3,4,5,6,7,30,420
127,4,2,7,4,3,2,2,3,4,4,7,6,7,20,410
128,3,7,5,3,5,5,1,6,4,5,4,5,4,35,250
129,4,3,6,3,3,4,2,1,5,5,6,6,5,30,400
130,4,1,5,2,1,6,1,3,5,5,6,5,4,30,450
131,6,5,6,6,5,4,2,2,7,7,7,7,6,30,420
132,4,1,6,7,3,5,1,1,6,5,7,6,6,40,420
133,5,3,7,5,4,4,3,5,5,4,5,4,5,40,290
134,5,4,3,3,5,3,2,5,5,6,7,7,6,25,330
135,5,5,6,6,6,4,1,5,4,7,6,4,5,35,200
136,6,5,7,3,4,3,1,2,4,5,6,5,6,45,370
137,6,3,4,3,4,5,2,3,5,7,6,6,5,25,580
138,7,6,7,4,1,1,1,5,2,5,7,6,6,45,480
139,6,4,6,5,5,4,4,1,3,6,7,5,7,45,310
140,6,4,6,4,6,2,4,4,3,7,5,6,5,40,400
141,5,3,4,2,4,2,1,5,6,4,7,7,4,30,420
142,5,4,5,3,4,4,4,1,3,6,7,5,5,45,450
143,5,5,6,2,5,6,1,4,2,6,4,7,5,45,430
144,6,4,4,4,1,3,1,3,3,5,4,4,7,35,510
145,1,3,6,2,7,6,4,6,2,4,1,2,7,50,410
146,3,2,5,3,6,6,7,5,3,2,1,5,5,55,450
147,4,4,6,5,7,4,7,7,5,3,1,1,4,40,790
148,4,2,5,5,7,5,6,7,7,4,1,3,7,55,440
149,2,4,5,3,7,7,7,6,5,1,1,1,7,40,400
150,2,3,2,4,4,6,7,7,7,2,1,1,7,30,450
151,2,4,4,2,7,7,5,4,5,5,2,4,4,50,590
152,3,2,3,2,5,7,4,7,5,3,1,1,3,45,460
153,1,3,5,3,7,6,7,7,5,3,3,2,6,40,530
154,3,5,6,1,6,7,4,5,4,2,2,3,5,45,510
155,1,3,5,7,5,4,4,7,6,2,1,1,6,45,420
156,4,2,3,3,7,7,5,4,6,1,1,1,7,45,500
157,1,5,3,1,7,7,1,7,5,4,4,1,4,55,520
158,1,2,3,1,4,7,4,6,4,3,1,1,6,50,390
159,2,3,4,3,6,7,7,6,6,4,1,3,5,40,460
160,1,4,4,4,6,7,6,7,5,3,1,1,5,40,490
